Question,Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
What country has earned the 3rd most Olympic Medals all time?,Great Britain,United States,France,USSR
How many golfers have achieved a Grand Slam?,6,4,3,0
What is the minimum number of throws to be able to get 301 in darts?,9,15,10,11
Which of these is included in a Gordie Howe hat trick?,Getting into a Fight,Clean Sheet,Playing a full game,Power Play Goal
How many gold medals did Michael Phelps win?,23,18,20,25
Which mens tennis player has won the most grand slam tournaments?,Novak Djokovic ,Roger Federer,Rafael Nadal,Andre Agassi
What is the world record for the mens 100M in track? ,9.58,9.96,9.83,9.63
"Who won the ""Battle of the Sexes""?",Billie Jean King,Bobby Riggs,Martina Navratilova,Serena Williams
What is the largest sports arena/stadium in the world?,India's Narendra Modi Stadium,North Korea's Rungrado 1st of May Stadium,University of Michigan's Michigan Stadium,Penn State University's Beaver Stadium
"Where did Ali and Foreman fight in the ""Rumble in the Jungle""?",Zaire/Democratic Republic of the Congo,Saudi Arabia,Las Vegas,London
